      Start |        End | Src | Data (! denotes parity error)                                           | CRC | Annotation
------------+------------+-----+-------------------------------------------------------------------------+-----+--------------------
          0 |       1056 | Rdr |26(7)                                                                    |     | REQA
      10768 |      18928 | Rdr |6a  01  cf  00  00  ab  b1                                               |  ok | ECP1
    4721072 |    4722128 | Rdr |26(7)                                                                    |     | REQA
    4731840 |    4740000 | Rdr |6a  01  cf  00  00  ab  b1                                               |  ok | ECP1
    9607632 |    9608688 | Rdr |26(7)                                                                    |     | REQA
    9618400 |    9626560 | Rdr |6a  01  cf  00  00  ab  b1                                               |  ok | ECP1
   14480864 |   14481920 | Rdr |26(7)                                                                    |     | REQA
   14491616 |   14499776 | Rdr |6a  01  cf  00  00  ab  b1                                               |  ok | ECP1
   19357312 |   19358368 | Rdr |26(7)                                                                    |     | REQA
   19368080 |   19376240 | Rdr |6a  01  cf  00  00  ab  b1                                               |  ok | ECP1
   24232256 |   24233312 | Rdr |26(7)                                                                    |     | REQA
   24243024 |   24251184 | Rdr |6a  01  cf  00  00  ab  b1                                               |  ok | ECP1
   29107488 |   29108544 | Rdr |26(7)                                                                    |     | REQA
   29118256 |   29126416 | Rdr |6a  01  cf  00  00  ab  b1                                               |  ok | ECP1
   33981456 |   33982512 | Rdr |26(7)                                                                    |     | REQA
   33992224 |   34000384 | Rdr |6a  01  cf  00  00  ab  b1                                               |  ok | ECP1
   38856128 |   38857184 | Rdr |26(7)                                                                    |     | REQA
   38866896 |   38875056 | Rdr |6a  01  cf  00  00  ab  b1                                               |  ok | ECP1
