      Start |        End | Src | Data (! denotes parity error)                                           | CRC | Annotation
------------+------------+-----+-------------------------------------------------------------------------+-----+--------------------
          0 |       1056 | Rdr |26(7)                                                                    |     | REQA
      10800 |      29328 | Rdr |6a  02  89  05  00  01  00  01  72  63  ac  8b  b9  bf  21  7b           |  ok | ECP2 (AirDrop)
    4666224 |    4667280 | Rdr |26(7)                                                                    |     | REQA
    4677008 |    4695536 | Rdr |6a  02  89  05  00  01  00  01  72  63  ac  8b  b9  bf  21  7b           |  ok | ECP2 (AirDrop)
    9383568 |    9384624 | Rdr |26(7)                                                                    |     | REQA
    9394368 |    9412896 | Rdr |6a  02  89  05  00  01  00  01  72  63  ac  8b  b9  bf  21  7b           |  ok | ECP2 (AirDrop)
   14101712 |   14102768 | Rdr |26(7)                                                                    |     | REQA
   14112512 |   14131040 | Rdr |6a  02  89  05  00  01  00  01  72  63  ac  8b  b9  bf  21  7b           |  ok | ECP2 (AirDrop)
