      Start |        End | Src | Data (! denotes parity error)                                           | CRC | Annotation
------------+------------+-----+-------------------------------------------------------------------------+-----+--------------------
          0 |       1056 | Rdr |26(7)                                                                    |     | REQA
      10768 |      20144 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
    4321360 |    4322416 | Rdr |26(7)                                                                    |     | REQA
    4332128 |    4341504 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
    8635488 |    8636544 | Rdr |26(7)                                                                    |     | REQA
    8646256 |    8655632 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
   12949280 |   12950336 | Rdr |26(7)                                                                    |     | REQA
   12960048 |   12969424 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
   17263504 |   17264560 | Rdr |26(7)                                                                    |     | REQA
   17274272 |   17283648 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
   21789008 |   21790064 | Rdr |26(7)                                                                    |     | REQA
   21799760 |   21809136 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
   26333872 |   26334928 | Rdr |26(7)                                                                    |     | REQA
   26344640 |   26354016 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
   30878480 |   30879536 | Rdr |26(7)                                                                    |     | REQA
   30889248 |   30898624 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
   35424192 |   35425248 | Rdr |26(7)                                                                    |     | REQA
   35434960 |   35444336 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
   39969168 |   39970224 | Rdr |26(7)                                                                    |     | REQA
   39979920 |   39989296 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
   44513584 |   44514640 | Rdr |26(7)                                                                    |     | REQA
   44524352 |   44533728 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
   49057968 |   49059024 | Rdr |26(7)                                                                    |     | REQA
   49068736 |   49078112 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
